Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature
5,27,8,0.0,128.97376650329855,370.61862478421847,138.01821568181276,127.57145855986266,336.2777155875924,128.97376650329855,459.1383830745251,128.97376650329855,459.1383830745251,20.272492695088978
5,27,9,0.0,132.57466338319455,174.15816908460442,124.8575829361835,124.8575829361835,266.8001168496526,132.57466338319455,467.0317415811362,132.57466338319455,467.0317415811362,21.869476196153848
5,27,10,0.0,239.24785273425564,311.0196376270582,186.92135333457082,186.92135333457082,476.99246817369203,239.24785273425564,811.9564840360724,239.24785273425564,811.9564840360724,24.174676669260595
5,27,11,0.0,305.0776944787376,312.8972726501578,157.41389438486092,157.41389438486092,608.3823031731723,305.0776944787376,954.4877475362559,305.0776944787376,954.4877475362559,27.006261496352966
5,27,12,0.0,441.1290986008639,240.29577828137425,174.22671974420555,177.80121867163191,895.290286753065,441.1290986008639,1343.8563353029813,441.1290986008639,1343.8563353029813,30.53951856353177
5,27,13,0.0,408.0682853129101,159.20186079679513,159.20186079679513,298.0367463289265,833.680955482261,408.0682853129101,1227.9688380501461,408.0682853129101,1227.9688380501461,34.229887015046074
5,27,14,0.0,375.6987678057844,158.0971976503805,158.0971976503805,492.185871139081,815.6248128147058,375.6987678057844,1071.1844685750352,375.6987678057844,1071.1844685750352,37.199893667900746
5,27,15,0.0,231.13976088365752,128.02989452360592,128.02989452360592,494.0878784347567,552.3164176976027,231.13976088365752,644.3985138454592,231.13976088365752,644.3985138454592,38.598102354427695
5,27,16,0.0,153.64092982762466,112.79677911586039,112.79677911586039,652.7614090662423,518.0984617585281,153.64092982762466,446.3461618089206,153.64092982762466,446.3461618089206,38.76600770665421
5,27,17,0.0,96.42830749877656,96.42830749877656,140.98135227928927,564.8708659121581,338.82219997171086,96.42830749877656,345.0669187653908,96.42830749877656,345.0669187653908,38.67187017020804
5,27,18,0.0,61.25261441964046,61.25261441964046,197.8531995719278,607.557762373388,222.59450133325765,61.25261441964046,219.19135026172734,61.25261441964046,219.19135026172734,37.91090128828138
5,27,19,0.0,22.732685297574072,22.732685297574072,138.18530844398424,303.3780858458263,60.409255312629014,22.732685297574072,81.34849479751276,22.732685297574072,81.34849479751276,36.250759743731095
5,27,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85878855782521
5,27,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.34491159778909
5,27,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.017930900236482
5,27,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02609863902067
5,27,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.300365724503386
5,28,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64413325803509
5,28,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.390943982544094
5,28,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.612328560544654
5,28,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8971806407918
5,28,5,0.0,2.868997219469396,2.868997219469396,2.868997219469396,2.868997219469396,5.5625,2.868997219469396,10.266653601499112,2.868997219469396,10.266653601499112,20.201649401029087
5,28,6,0.0,18.219253611083584,18.219253611083584,18.219253611083584,18.219253611083584,35.125,18.219253611083584,65.19726280440624,18.219253611083584,65.19726280440624,19.62181346873536
5,28,7,0.0,50.05647184665139,129.8910146346518,61.59726532750223,50.05647184665139,114.79820967548292,50.05647184665139,179.12616069311053,50.05647184665139,179.12616069311053,19.532840401480563
5,28,8,0.0,106.2050189726011,514.4950392036892,114.64288413661228,102.02837594397042,367.945360103669,106.2050189726011,368.9284889263706,106.2050189726011,368.9284889263706,20.571214423268238
5,28,9,0.0,211.00303852057726,730.1343798226178,120.89397583369087,120.89397583369087,658.1155257070736,211.00303852057726,525.231087819696,211.00303852057726,525.231087819696,23.002947799263612
5,28,10,0.0,326.7866035918096,639.3089810567808,125.75841829678292,125.75841829678292,846.1732960657437,326.7866035918096,779.2713834795281,326.7866035918096,779.2713834795281,26.21705389411643
5,28,11,0.0,396.8876619730481,430.9652984493488,134.03246621934994,134.03246621934994,906.9715669876025,396.8876619730481,1064.5656173193258,396.8876619730481,1064.5656173193258,29.77598092029118
5,28,12,0.0,432.3725372929968,220.12023824732097,148.75960093761512,152.61792966243456,912.6213372745266,432.3725372929968,1261.0655523077871,432.3725372929968,1261.0655523077871,33.59122137555544
5,28,13,0.0,403.79798473036084,130.94644950156382,130.94644950156382,278.94411418650816,897.2177519308881,403.79798473036084,1122.8908669638597,403.79798473036084,1122.8908669638597,36.82026650223446
5,28,14,0.0,324.46095535174373,126.4034948490814,126.4034948490814,437.91042995236285,725.6328548255772,324.46095535174373,889.6355527081049,324.46095535174373,889.6355527081049,38.94297591602644
5,28,15,0.0,287.79252640172314,136.71646784481325,136.71646784481325,669.31314540894,747.760869524463,287.79252640172314,725.1811754941505,287.79252640172314,725.1811754941505,40.50125557388064
5,28,16,0.0,174.77349694795322,131.52687294232155,131.52687294232155,717.7583924372414,572.8694132691932,174.77349694795322,518.0089300057479,174.77349694795322,518.0089300057479,40.83630910534537
5,28,17,0.0,97.75471822595728,97.75471822595728,144.43663661305874,635.1333692358503,377.0377984106573,97.75471822595728,349.8134550732216,97.75471822595728,349.8134550732216,39.82477615303338
5,28,18,0.0,73.8497067951634,73.8497067951634,137.33000646390204,323.6759464300232,185.65052739684896,73.8497067951634,264.26981284368077,73.8497067951634,264.26981284368077,38.33767401159368
5,28,19,0.0,26.30098591150741,26.30098591150741,159.25573044127572,345.3796369698504,67.83290238973596,26.30098591150741,94.11759269020627,26.30098591150741,94.11759269020627,36.577654799307
