Month,DayOfMonth,Hour,Minute,SOUTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,EAST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,NORTH_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,WEST_WALL_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,ROOF_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_1_Surface_Window_Transmitted_Solar_Radiation_Rate,SOUTH_WINDOW_2_Surface_Outside_Face_Incident_Solar_Radiation_Rate_per_Area,SOUTH_WINDOW_2_Surface_Window_Transmitted_Solar_Radiation_Rate,MAIN_ZONE_Zone_Mean_Air_Temperature,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Energy,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Total_Heating_Rate,MAIN_ZONE_IDEAL_LOADS_Zone_Ideal_Loads_Supply_Air_Sensible_Cooling_Rate
10,23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,4319598.39787162,0.0,1199.8884438532277,0.0
10,23,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4248662.988182491,0.0,1180.1841633840252,0.0
10,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4231126.116967853,0.0,1175.312810268848,0.0
10,23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4266411.281933693,0.0,1185.1142449815816,0.0
10,23,7,0.0,5.614922594941612,5.614922594941612,5.614922594941612,5.614922594941612,10.875,5.614922594941612,20.160014512463434,5.614922594941612,20.160014512463434,20.0,4172974.133491611,0.0,1159.1594815254475,0.0
10,23,8,0.0,29.98599311334479,30.047621784214908,29.885968965255216,29.885968965255216,57.3125,29.98599311334479,107.66275867814448,29.98599311334479,107.66275867814448,20.0,3737097.63079189,0.0,1038.0826752199696,0.0
10,23,9,0.0,82.15619926683328,83.85135197508691,64.01480024290109,64.01480024290109,130.1394044904218,82.15619926683328,296.02768406698,82.15619926683328,296.02768406698,20.0,2881234.9858450643,0.0,800.343051623629,0.0
10,23,10,0.0,224.9332772765112,200.41132659588968,125.01786645347059,125.01786645347059,285.9193515467624,224.9332772765112,819.2385496690781,224.9332772765112,819.2385496690781,20.0,812512.6355139654,0.0,225.69795430943486,0.0
10,23,11,0.0,247.0296647032543,181.2226425428241,141.39906476792407,141.39906476792407,320.323183395869,247.0296647032543,901.0815544536283,247.0296647032543,901.0815544536283,21.032799073617177,0.0,0.0,0.0,0.0
10,23,12,0.0,270.3650395730923,154.82637308681507,148.55612669915314,152.15333447317641,345.05916890435077,270.3650395730923,991.4798108851609,270.3650395730923,991.4798108851609,23.11224983423422,0.0,0.0,0.0,0.0
